path,type
/data/user/0/dream.lksadh.ionk,directory
/data/user_de/0/dream.lksadh.ionk,directory
/data/app/dream.lksadh.ionk-<base64>/base.apk,file
/data/app/dream.lksadh.ionk-<base64>/split_config.arm64_v8a.apk,file
/data/app/dream.lksadh.ionk-<base64>/split_config.xxhdpi.apk,file
/data/app/dream.lksadh.ionk-<base64>/oat/arm64/base.odex,file
/data/app/dream.lksadh.ionk-<base64>/oat/arm64/base.vdex,file
/data/app/dream.lksadh.ionk-<base64>/oat/arm64/base.art,file
/data/app/dream.lksadh.ionk-<base64>/lib/arm64,directory
/data/app/dream.lksadh.ionk-<base64>/base.apk!/lib/arm64-v8a,directory
/data/app/dream.lksadh.ionk-<base64>/split_config.arm64_v8a.apk!/lib/arm64-v8a,directory
/data/app/dream.lksadh.ionk-<base64>/split_config.xxhdpi.apk!/lib/arm64-v8a,directory
/data/misc/profiles/cur/0/dream.lksadh.ionk,directory
/data/misc/profiles/cur/0/dream.lksadh.ionk/config.xxhdpi.split.prof,directory
/data/misc/profiles/cur/0/dream.lksadh.ionk/config.arm64_v8a.split.prof,directory
/data/misc/profiles/cur/0/dream.lksadh.ionk/primary.prof,file
/data/user/0/dream.lksadh.ionk/cache,directory
/data/user_de/0/dream.lksadh.ionk/code_cache,directory
/data/user_de/0/dream.lksadh.ionk/code_cache/com.android.opengl.shaders_cache,file
/data/user_de/0/dream.lksadh.ionk/code_cache/com.android.skia.shaders_cache,file
/data/user/0/dream.lksadh.ionk/shared_prefs,directory
/data/user/0/dream.lksadh.ionk/shared_prefs/language_uni_sp_file.xml,file
/data/user/0/dream.lksadh.ionk/shared_prefs/language_uni_sp_file.xml.bak,file
/data/user/0/dream.lksadh.ionk/shared_prefs/dc_ad_type_key.xml,file
/data/user/0/dream.lksadh.ionk/shared_prefs/dc_ad_type_key.xml.bak,file
/storage/emulated/0/Android/data/dream.lksadh.ionk,directory
/storage/emulated/0/Android/data/dream.lksadh.ionk/cache,directory
/data/user/0/dream.lksadh.ionk/files,directory
/data/user/0/dream.lksadh.ionk/files/apps/__UNI__F091AF7/www/manifest.json,file
/data/user/0/dream.lksadh.ionk/files/apps/__UNI__F091AF7/www/androidPrivacy.json,file
/data/user/0/dream.lksadh.ionk/shared_prefs/pdr.xml,file
/data/user/0/dream.lksadh.ionk/shared_prefs/pdr.xml.bak,file
/storage/emulated/0/Android/data/dream.lksadh.ionk/apps/,directory
