path,type
"/data/user/0/com.productmkf.dn",directory
"/data/user_de/0/com.productmkf.dn",directory
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/base.apk",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.arm64_v8a.apk",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.ko.apk",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.xxhdpi.apk",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/oat/arm64/base.odex",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/oat/arm64/base.vdex",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/oat/arm64/base.art",file
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/lib/arm64",directory
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/base.apk!/lib/arm64-v8a",directory
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.arm64_v8a.apk!/lib/arm64-v8a",directory
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.ko.apk!/lib/arm64-v8a",directory
"/data/app/com.productmkf.dn-Ob9hQ4sbsAKJPsK_UHPFtg==/split_config.xxhdpi.apk!/lib/arm64-v8a",directory
"/data/misc/profiles/cur/0/com.productmkf.dn",directory
"/data/misc/profiles/cur/0/com.productmkf.dn/config.xxhdpi.split.prof",directory
"/data/misc/profiles/cur/0/com.productmkf.dn/config.ko.split.prof",directory
"/data/misc/profiles/cur/0/com.productmkf.dn/config.arm64_v8a.split.prof",directory
"/data/misc/profiles/cur/0/com.productmkf.dn/primary.prof",file
"/data/user/0/com.productmkf.dn/cache",directory
"/data/user_de/0/com.productmkf.dn/code_cache",directory
"/data/user_de/0/com.productmkf.dn/code_cache/com.android.opengl.shaders_cache",file
"/data/user_de/0/com.productmkf.dn/code_cache/com.android.skia.shaders_cache",file
